dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
15,Allan Donald,AA Donald,SA,14,7.50,29.29,1460.0,33.27,3.00,66.3,Right-hand bat,Right-arm fast
16,Alex Doolan,AJ Doolan,AUS,8,23.87,41.97,-,-,-,-,Right-hand bat,-
17,Travis Dowlin,TM Dowlin,WI,11,31.18,46.22,6.0,-,3.00,-,Right-hand bat,Right-arm offbreak
18,Shane Dowrich,SO Dowrich,WI,62,29.07,46.99,-,-,-,-,Right-hand bat,-
19,Vasbert Drakes,VC Drakes,WI,20,21.44,47.13,2617.0,41.27,3.12,79.3,Right-hand bat,Right-arm fast
20,Rahul Dravid,R Dravid,ICC/INDIA,217,51.90,43.25,54.0,18.00,2.00,54.0,Right-hand bat,Right-arm offbreak
21,Chris Drum,CJ Drum,NZ,5,3.33,10.98,805.9999999999999,30.12,3.58,50.3,Right-hand bat,Right-arm fast-medium
22,Ben Duckett,BM Duckett,ENG,7,15.71,57.89,-,-,-,-,Left-hand bat,Right-arm offbreak
23,Terry Duffin,T Duffin,ZIM,4,20.00,44.69,-,-,-,-,Left-hand bat,Right-arm medium
24,Jean-Paul Duminy,JP Duminy,SA,74,32.85,46.28,2703.0,38.11,3.55,64.3,Left-hand bat,Right-arm offbreak
25,Faf du Plessis,F du Plessis,SA,112,39.80,45.45,78.0,-,5.30,-,Right-hand bat,Legbreak
26,Ebadot Hossain,Ebadat Hossain,BDESH,10,0.66,11.42,852.0,89.33,3.77,142.0,Right-hand bat,Right-arm fast-medium
27,Dion Ebrahim,DD Ebrahim,ZIM,55,22.68,39.31,-,-,-,-,Right-hand bat,Right-arm medium
28,Fidel Edwards,FH Edwards,WI,88,6.56,28.20,9602.0,37.87,3.90,58.1,Right-hand bat,Right-arm fast
29,Kirk Edwards,KA Edwards,WI,32,31.80,48.05,24.0,-,4.75,-,Right-hand bat,Right-arm offbreak
30,Ehsanul Haque,Ehsanul Haque,BDESH,2,3.50,22.58,18.0,-,6.00,-,Right-hand bat,Right-arm offbreak
31,Ehsan Adil,Ehsan Adil,PAK,4,5.25,51.21,480.99999999999994,52.60,3.28,96.2,Right-hand bat,Right-arm fast-medium
32,Dean Elgar,D Elgar,SA,110,38.49,45.89,1023.0000000000001,43.93,3.86,68.2,Left-hand bat,Slow left-arm orthodox
33,Elias Sunny,Elias Sunny,BDESH,6,7.60,26.57,863.0,43.16,3.60,71.9,Left-hand bat,Slow left-arm orthodox
34,Grant Elliott,GD Elliott,NZ,9,10.75,26.70,282.0,35.00,2.97,70.5,Right-hand bat,Right-arm medium
35,Matthew Elliott,MTG Elliott,AUS,2,0.50,9.09,-,-,-,-,Left-hand bat,Left-arm medium
36,Steve Elworthy,S Elworthy,SA,2,5.50,45.83,351.0,51.50,3.52,87.7,Right-hand bat,Right-arm fast-medium
37,Lasith Embuldeniya,L Embuldeniya,SL,9,6.22,31.11,2031.0,39.80,3.52,67.7,Left-hand bat,Slow left-arm orthodox
38,Enamul Haque,Enamul Haque,BDESH,19,12.00,34.61,2230.0,57.05,2.76,123.8,Left-hand bat,Slow left-arm orthodox
39,Enamul Haque jnr,Enamul Haque jnr,BDESH,26,5.90,21.77,3554.9999999999995,40.61,3.01,80.7,Right-hand bat,Slow left-arm orthodox
40,Shaminda Eranga,RMS Eranga,SL,26,12.86,41.15,3890.9999999999995,37.50,3.29,68.2,Right-hand bat,Right-arm fast-medium
41,Craig Ervine,CR Ervine,ZIM,36,35.52,49.20,-,-,-,-,Left-hand bat,Right-arm offbreak
42,Sean Ervine,SM Ervine,ZIM,8,32.62,55.41,570.0,43.11,4.08,63.3,Left-hand bat,"Right-arm medium, Right-arm offbreak"
43,Craig Evans,CN Evans,ZIM,2,13.50,33.75,-,-,-,-,Right-hand bat,Right-arm medium
44,Gavin Ewing,GM Ewing,ZIM,6,18.00,62.06,426.0,130.00,3.66,213.0,Right-hand bat,Right-arm offbreak
45,Faheem Ashraf,Faheem Ashraf,PAK,6,23.00,70.05,540.0,26.09,3.18,49.0,Left-hand bat,Right-arm medium
46,Fahim Muntasir,Fahim Muntasir,BDESH,6,8.66,60.46,576.0,68.40,3.56,115.2,Right-hand bat,Right-arm offbreak
47,Faisal Hossain,Faisal Hossain,BDESH,2,3.50,25.92,-,-,-,-,Left-hand bat,Slow left-arm orthodox
48,Faisal Iqbal,Faisal Iqbal,PAK,44,26.76,44.16,6.0,-,7.00,-,Right-hand bat,Right-arm offbreak
49,Fakhar Zaman,Fakhar Zaman,PAK,6,32.00,53.48,-,-,-,-,Left-hand bat,Slow left-arm orthodox
50,Farhan Adil,Farhan Adil,PAK,2,16.50,47.82,-,-,-,-,Right-hand bat,Right-arm offbreak
51,James Faulkner,JP Faulkner,AUS,2,22.50,104.65,166.0,16.33,3.54,27.6,Right-hand bat,Left-arm fast-medium
52,Fawad Alam,Fawad Alam,PAK,6,41.66,56.68,-,-,-,-,Left-hand bat,Slow left-arm orthodox
53,Fazl-e-Akbar,Fazl-e-Akbar,PAK,5,12.33,41.11,642.0,51.42,3.36,91.7,Right-hand bat,Right-arm fast-medium
54,Callum Ferguson,CJ Ferguson,AUS,2,2.00,17.39,-,-,-,-,Right-hand bat,Right-arm medium
55,Lockie Ferguson,LH Ferguson,NZ,2,-,11.11,66.0,-,4.27,-,Right-hand bat,Right-arm fast
56,Nuwan Pradeep,N Pradeep,SL,50,4.00,36.56,5077.0,42.90,3.54,72.5,Right-hand bat,Right-arm fast-medium
57,Oshada Fernando,BOP Fernando,SL,11,43.66,50.00,18.0,-,6.33,-,Right-hand bat,Legbreak
58,Dilhara Fernando,CRD Fernando,SL,44,8.24,35.09,5804.0,38.81,3.69,63.0,Right-hand bat,Right-arm fast-medium
59,Dinusha Fernando,KADM Fernando,SL,3,28.00,43.41,126.0,107.00,5.09,126.0,Right-hand bat,Right-arm fast-medium
60,Hasantha Fernando,KHRK Fernando,SL,4,9.50,48.10,234.0,27.00,2.76,58.5,Right-hand bat,Right-arm medium-fast
61,Vishwa Fernando,MVT Fernando,SL,12,9.00,26.86,1293.0,33.56,3.58,56.2,Right-hand bat,Left-arm medium-fast
62,Charitha Buddhika,TCB Fernando,SL,8,26.40,39.75,1270.0,44.00,3.74,70.5,Right-hand bat,Right-arm fast-medium
63,Neil Ferreira,NR Ferreira,ZIM,2,10.50,21.21,-,-,-,-,Left-hand bat,Right-arm offbreak
64,Aaron Finch,AJ Finch,AUS,10,27.80,44.98,12.0,-,4.00,-,Right-hand bat,Slow left-arm orthodox
65,Steven Finn,ST Finn,ENG,47,11.16,30.96,6412.000000000001,30.40,3.55,51.2,Right-hand bat,Right-arm fast-medium
66,Damien Fleming,DW Fleming,AUS,1,6.00,28.57,180.0,99.00,3.30,180.0,Right-hand bat,Right-arm fast-medium
67,Stephen Fleming,SP Fleming,NZ,89,44.11,49.80,-,-,-,-,Left-hand bat,-
68,Andrew Flintoff,A Flintoff,ENG/ICC,116,33.75,62.73,14124.0,32.07,2.98,64.4,Right-hand bat,Right-arm fast-medium
69,Andy Flower,A Flower,ZIM,26,53.13,54.22,2.0,-,12.00,-,Left-hand bat,Right-arm offbreak
70,Grant Flower,GW Flower,ZIM,37,27.48,34.65,1537.0000000000002,45.25,2.82,96.0,Right-hand bat,Slow left-arm orthodox
71,Daniel Flynn,DR Flynn,NZ,45,25.95,40.23,6.0,-,0.00,-,Left-hand bat,Left-arm slow
72,Ben Foakes,BT Foakes,ENG,10,41.50,53.80,-,-,-,-,Right-hand bat,-
73,James Foster,JS Foster,ENG,12,25.11,34.55,-,-,-,-,Right-hand bat,-
74,James Franklin,JEC Franklin,NZ,46,20.71,37.35,4767.0,33.97,3.50,58.1,Left-hand bat,Left-arm medium
75,Travis Friend,TJ Friend,ZIM,19,29.80,43.82,2000.0,43.60,3.27,80.0,Right-hand bat,Right-arm fast-medium
76,Assad Fudadin,AB Fudadin,WI,5,30.50,32.10,30.0,-,2.20,-,Left-hand bat,Right-arm medium-fast
77,Peter Fulton,PG Fulton,NZ,39,25.44,39.27,-,-,-,-,Right-hand bat,Right-arm medium
78,Shannon Gabriel,ST Gabriel,WI,71,4.63,36.36,7823.0,30.76,3.39,54.3,Right-hand bat,Right-arm fast
79,Lahiru Gamage,PLS Gamage,SL,8,1.50,6.06,1112.0,57.30,3.09,111.2,Right-hand bat,Right-arm fast-medium
80,Gautam Gambhir,G Gambhir,INDIA,104,41.95,51.49,12.0,-,2.00,-,Left-hand bat,Legbreak
81,Daren Ganga,D Ganga,WI,72,28.25,40.39,186.0,106.00,3.41,186.0,Right-hand bat,Right-arm offbreak
82,Sourav Ganguly,SC Ganguly,INDIA,124,39.83,53.40,1800.0,80.00,3.20,150.0,Left-hand bat,Right-arm medium
83,Leon Garrick,LV Garrick,WI,2,13.50,35.52,-,-,-,-,Right-hand bat,Right-arm medium
84,Chris Gayle,CH Gayle,WI,177,43.10,60.51,6851.0,43.76,2.64,99.2,Left-hand bat,Right-arm offbreak
85,Peter George,PR George,AUS,2,1.00,18.18,168.0,38.50,2.75,84.0,Right-hand bat,Right-arm fast-medium
86,Herschelle Gibbs,HH Gibbs,SA,119,44.85,52.01,6.0,-,4.00,-,Right-hand bat,Right-arm bowler
87,Adam Gilchrist,AC Gilchrist,AUS,118,46.93,83.45,-,-,-,-,Left-hand bat,Right-arm offbreak
88,Ashley Giles,AF Giles,ENG,76,20.73,47.11,10872.0,42.32,2.91,86.9,Right-hand bat,Slow left-arm orthodox
89,Jason Gillespie,JN Gillespie,AUS,68,19.16,33.51,11384.0,28.24,2.84,59.6,Right-hand bat,Right-arm fast
90,Mark Gillespie,MR Gillespie,NZ,8,10.85,56.71,868.0,28.68,4.36,39.4,Right-hand bat,Right-arm fast-medium
91,Darren Gough,D Gough,ENG,19,13.07,51.11,2212.0,31.00,3.86,48.0,Right-hand bat,Right-arm fast-medium
92,Trevor Gripper,TR Gripper,ZIM,24,27.56,38.80,669.0,85.60,3.83,133.8,Right-hand bat,Right-arm offbreak
93,Asela Gunaratne,DAS Gunaratne,SL,10,56.87,52.84,156.0,38.00,4.38,52.0,Right-hand bat,Right-arm medium-fast
94,Danushka Gunathilaka,MD Gunathilaka,SL,16,18.68,50.08,198.0,111.00,3.36,198.0,Left-hand bat,Right-arm offbreak
95,Avishka Gunawardene,DA Gunawardene,SL,7,13.85,45.75,-,-,-,-,Left-hand bat,-
96,Martin Guptill,MJ Guptill,NZ,89,29.38,46.61,428.0,37.25,4.17,53.5,Right-hand bat,Right-arm offbreak
97,Habibul Bashar,Habibul Bashar,BDESH,97,30.46,60.37,234.0,-,4.56,-,Right-hand bat,Right-arm offbreak
98,Brad Haddin,BJ Haddin,AUS,112,32.98,58.45,-,-,-,-,Right-hand bat,-
99,Alex Hales,AD Hales,ENG,21,27.28,43.84,18.0,-,0.66,-,Right-hand bat,Right-arm medium
100,Andrew Hall,AJ Hall,SA,33,26.20,46.06,3001.0,35.93,3.23,66.6,Right-hand bat,Right-arm fast-medium
101,Haseeb Hameed,H Hameed,ENG,6,43.80,34.21,-,-,-,-,Right-hand bat,Legbreak
102,Jahmar Hamilton,JN Hamilton,WI,2,2.50,8.19,-,-,-,-,Right-hand bat,-
103,Peter Handscomb,PSP Handscomb,AUS,29,38.91,49.83,-,-,-,-,Right-hand bat,-
104,Hannan Sarkar,Hannan Sarkar,BDESH,33,20.06,46.65,-,-,-,-,Right-hand bat,Right-arm medium
105,Harbhajan Singh,Harbhajan Singh,INDIA,134,18.74,65.58,26865.999999999996,32.13,2.84,67.8,Right-hand bat,Right-arm offbreak
106,Haris Sohail,Haris Sohail,PAK,23,37.22,45.02,594.0,21.15,2.77,45.6,Left-hand bat,Slow left-arm orthodox
107,Simon Harmer,SR Harmer,SA,6,11.60,33.33,1148.0,29.40,3.07,57.4,Right-hand bat,Right-arm offbreak
108,Steve Harmison,SJ Harmison,ENG/ICC,86,11.79,57.19,13375.0,31.82,3.22,59.1,Right-hand bat,Right-arm fast-medium
109,Chris Harris,CZ Harris,NZ,8,24.37,39.15,318.0,166.00,3.13,318.0,Left-hand bat,Right-arm medium
110,Marcus Harris,MS Harris,AUS,17,24.06,52.23,-,-,-,-,Left-hand bat,-
111,Paul Harris,PL Harris,SA,48,10.69,33.89,8809.0,37.87,2.65,85.5,Right-hand bat,Slow left-arm orthodox
112,Ryan Harris,RJ Harris,AUS,39,21.53,63.14,5736.0,23.52,2.78,50.7,Right-hand bat,Right-arm fast
113,Robbie Hart,RG Hart,NZ,19,16.25,25.69,-,-,-,-,Right-hand bat,-
114,Harvinder Singh,Harvinder Singh,INDIA,1,6.00,35.29,135.0,43.50,3.86,67.5,Right-hand bat,Right-arm fast-medium
115,Hasan Ali,Hasan Ali,PAK,15,15.50,93.93,1737.0,28.90,3.09,56.0,Right-hand bat,Right-arm medium-fast
116,Hasan Raza,Hasan Raza,PAK,8,29.28,38.38,6.0,-,1.00,-,Right-hand bat,Right-arm offbreak
117,Hashmatullah Shahidi,Hashmatullah Shahidi,AFG,6,34.50,41.07,-,-,-,-,Left-hand bat,Right-arm offbreak
118,Hasibul Hossain,Hasibul Hossain,BDESH,8,8.62,88.46,630.0,96.00,4.57,126.0,Right-hand bat,Right-arm fast-medium
119,John Hastings,JW Hastings,AUS,2,26.00,59.09,234.0,153.00,3.92,234.0,Right-hand bat,Right-arm fast-medium
120,Nathan Hauritz,NM Hauritz,AUS,24,25.05,49.88,4200.0,34.98,3.14,66.6,Right-hand bat,Right-arm offbreak
121,Matthew Hayden,ML Hayden,AUS,164,53.98,61.19,42.0,-,4.42,-,Left-hand bat,Right-arm medium
122,Nantie Hayward,M Hayward,SA,10,6.66,33.33,1787.0,31.48,3.70,51.0,Right-hand bat,Right-arm fast
123,Josh Hazlewood,JR Hazlewood,AUS,62,12.18,44.27,11019.0,26.20,2.78,56.5,Left-hand bat,Right-arm fast-medium
124,Travis Head,TM Head,AUS,28,41.96,50.41,126.0,-,3.61,-,Left-hand bat,Right-arm offbreak
125,Claude Henderson,CW Henderson,SA,7,9.28,32.17,1962.0,42.18,2.83,89.1,Right-hand bat,Slow left-arm orthodox
126,Beuran Hendricks,BE Hendricks,SA,2,9.00,50.00,230.99999999999997,29.16,4.54,38.5,Left-hand bat,Left-arm fast-medium
127,Moises Henriques,MC Henriques,AUS,8,23.42,47.39,330.0,82.00,2.98,165.0,Right-hand bat,Right-arm fast-medium
128,Matt Henry,MJ Henry,NZ,16,18.66,76.45,2761.0,50.16,3.27,92.0,Right-hand bat,Right-arm fast-medium
129,Rangana Herath,HMRKB Herath,SL,141,15.00,50.19,25359.999999999996,27.74,2.80,59.3,Left-hand bat,Slow left-arm orthodox
130,Shimron Hetmyer,SO Hetmyer,WI,30,27.93,73.63,-,-,-,-,Left-hand bat,-
131,Dinuka Hettiarachchi,D Hettiarachchi,SL,2,0.00,0.00,162.0,20.50,1.51,81.0,Right-hand bat,Slow left-arm orthodox
132,Graeme Hick,GA Hick,ENG,4,6.75,26.47,24.0,-,2.00,-,Right-hand bat,Right-arm offbreak
133,Ben Hilfenhaus,BW Hilfenhaus,AUS,38,13.65,54.19,6078.0,28.50,2.78,61.3,Right-hand bat,Right-arm fast-medium
134,Ryan Hinds,RO Hinds,WI,25,21.04,40.56,1743.0,66.92,2.99,134.0,Left-hand bat,Slow left-arm orthodox
135,Wavell Hinds,WW Hinds,WI,57,33.70,48.22,1123.0,36.87,3.15,70.1,Left-hand bat,Right-arm medium
136,Brad Hodge,BJ Hodge,AUS,11,55.88,52.12,12.0,-,4.00,-,Right-hand bat,Right-arm offbreak
137,Brad Hogg,GB Hogg,AUS,8,36.20,54.02,1422.0,54.00,3.64,88.8,Left-hand bat,Slow left-arm chinaman
138,Matthew Hoggard,MJ Hoggard,ENG,91,7.09,22.24,13831.0,30.30,3.26,55.7,Right-hand bat,Right-arm fast-medium
139,Jason Holder,JO Holder,WI,75,31.93,59.22,7212.0,26.69,2.57,62.1,Right-hand bat,Right-arm medium-fast
140,Jon Holland,JM Holland,AUS,7,3.00,13.04,960.0,63.77,3.58,106.6,Right-hand bat,Slow left-arm orthodox
141,Douglas Hondo,DT Hondo,ZIM,15,9.22,24.55,1486.0,36.85,3.12,70.7,Right-hand bat,Right-arm fast-medium
142,Carl Hooper,CL Hooper,WI,37,45.97,48.62,3395.0,60.14,2.23,161.6,Right-hand bat,Right-arm offbreak
143,Kyle Hope,KA Hope,WI,9,11.22,40.40,-,-,-,-,Right-hand bat,Right-arm offbreak
144,Shai Hope,SD Hope,WI,64,26.27,42.27,-,-,-,-,Right-hand bat,-
145,Gareth Hopkins,GJ Hopkins,NZ,7,11.83,25.63,-,-,-,-,Right-hand bat,-
146,Matt Horne,MJ Horne,NZ,11,16.36,34.22,-,-,-,-,Right-hand bat,Right-arm medium
147,Jamie How,JM How,NZ,35,22.70,50.45,12.0,-,2.00,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
148,Phillip Hughes,PJ Hughes,AUS,49,32.65,53.55,-,-,-,-,Left-hand bat,-
149,Humayun Farhat,Humayun Farhat,PAK,2,27.00,84.37,-,-,-,-,Right-hand bat,-
150,Nasser Hussain,N Hussain,ENG,71,39.48,43.12,-,-,-,-,Right-hand bat,Legbreak
151,Michael Hussey,MEK Hussey,AUS,137,51.52,50.13,588.0,43.71,3.12,84.0,Left-hand bat,Right-arm medium
152,Ibrahim Zadran,Ibrahim Zadran,AFG,4,37.00,38.14,-,-,-,-,Right-hand bat,Right-arm medium-fast
153,Iftikhar Ahmed,Iftikhar Ahmed,PAK,5,9.60,39.34,188.0,141.00,4.50,188.0,Right-hand bat,Right-arm offbreak
154,Iftikhar Anjum,Iftikhar Anjum,PAK,1,-,23.07,84.0,-,4.42,-,Right-hand bat,Right-arm medium
155,Ihsanullah,Ihsanullah,AFG,6,22.00,43.47,-,-,-,-,Right-hand bat,-
156,Ijaz Ahmed,Ijaz Ahmed,PAK,3,11.00,33.00,-,-,-,-,Right-hand bat,Left-arm medium
157,Ikram Alikhil,Ikram Alikhil,AFG,1,7.00,17.50,-,-,-,-,Left-hand bat,-
158,Imam-ul-Haq,Imam-ul-Haq,PAK,21,25.52,46.54,-,-,-,-,Left-hand bat,-
159,Imran Farhat,Imran Farhat,PAK,77,32.00,48.28,426.99999999999994,94.66,3.99,142.3,Left-hand bat,Legbreak
160,Imran Khan,Imran Khan,PAK,10,2.28,32.00,1635.9999999999998,31.62,3.36,56.4,Right-hand bat,Right-arm medium-fast
161,Imran Nazir,Imran Nazir,PAK,5,36.60,55.62,-,-,-,-,Right-hand bat,Legbreak
162,Imran Tahir,Imran Tahir,SA,23,9.28,55.31,3925.0,40.24,3.50,68.8,Right-hand bat,Legbreak googly
163,Imrul Kayes,Imrul Kayes,BDESH,76,24.28,48.02,24.0,-,3.00,-,Left-hand bat,Slow left-arm orthodox
164,Peter Ingram,PJ Ingram,NZ,4,15.25,40.39,-,-,-,-,Right-hand bat,Right-arm offbreak
165,Inzamam-ul-Haq,Inzamam-ul-Haq,ICC/PAK,84,54.36,57.16,-,-,-,-,Right-hand bat,Slow left-arm orthodox
166,Ridley Jacobs,RD Jacobs,WI,67,31.35,49.58,-,-,-,-,Left-hand bat,-
167,Ravindra Jadeja,RA Jadeja,INDIA,71,35.26,63.76,12912.0,24.62,2.43,60.6,Left-hand bat,Slow left-arm orthodox
168,Wasim Jaffer,W Jaffer,INDIA,54,35.81,48.74,66.0,9.00,1.63,33.0,Right-hand bat,Right-arm offbreak
169,Amit Jaggernauth,AS Jaggernauth,WI,2,0.00,0.00,138.0,96.00,4.17,138.0,Left-hand bat,Right-arm offbreak
170,Jahurul Islam,Jahurul Islam,BDESH,14,26.69,38.47,-,-,-,-,Right-hand bat,Right-arm offbreak
171,Kyle Jamieson,KA Jamieson,NZ,2,46.50,86.11,342.0,16.33,2.57,38.0,Right-hand bat,Right-arm medium
172,Phil Jaques,PA Jaques,AUS,19,47.47,54.23,-,-,-,-,Left-hand bat,Left-arm medium
173,Kyle Jarvis,KM Jarvis,ZIM,24,9.14,33.33,2511.0,29.43,3.23,54.5,Right-hand bat,Right-arm fast-medium
174,Javed Ahmadi,Javed Ahmadi,AFG,4,26.25,54.40,6.0,-,9.00,-,Right-hand bat,Right-arm offbreak
175,Javed Omar,Javed Omar,BDESH,80,22.05,38.14,6.0,-,12.00,-,Right-hand bat,Legbreak
176,Udara Jayasundera,MDUS Jayasundera,SL,4,7.50,38.96,42.0,-,6.42,-,Left-hand bat,Legbreak
177,Sanath Jayasuriya,ST Jayasuriya,SL,96,38.46,66.69,4837.0,30.29,2.29,79.2,Left-hand bat,Slow left-arm orthodox
178,Mahela Jayawardene,DPMD Jayawardene,SL,212,50.95,51.96,185.0,50.00,3.24,92.5,Right-hand bat,Right-arm medium
179,Prasanna Jayawardene,HAPW Jayawardene,SL,83,29.50,48.70,-,-,-,-,Right-hand bat,-
180,Keaton Jennings,KK Jennings,ENG,32,25.19,42.49,73.0,-,4.52,-,Left-hand bat,Right-arm medium-fast
181,Leon Johnson,LR Johnson,WI,16,25.18,48.43,24.0,-,2.25,-,Left-hand bat,Legbreak
182,Mitchell Johnson,MG Johnson,AUS,109,22.20,58.39,16001.0,28.40,3.33,51.1,Left-hand bat,Left-arm fast
183,Richard Johnson,RL Johnson,ENG,4,14.75,58.41,547.0,17.18,3.01,34.1,Right-hand bat,Right-arm medium
184,Geraint Jones,GO Jones,ENG,53,23.91,54.13,-,-,-,-,Right-hand bat,-
185,Richard Jones,RA Jones,NZ,2,11.50,25.27,-,-,-,-,Right-hand bat,-
186,Simon Jones,SP Jones,ENG,18,15.76,51.89,2821.0,28.23,3.54,47.8,Left-hand bat,Right-arm fast-medium
187,Chris Jordan,CJ Jordan,ENG,11,18.00,56.25,1530.0,35.80,2.94,72.8,Right-hand bat,Right-arm fast-medium
188,Alzarri Joseph,AS Joseph,WI,18,7.94,47.82,1862.0,35.82,3.23,66.5,Right-hand bat,Right-arm fast-medium
189,Sylvester Joseph,SC Joseph,WI,10,14.70,37.78,12.0,-,4.00,-,Right-hand bat,Right-arm offbreak
190,Ed Joyce,EC Joyce,IRE,2,23.50,46.07,-,-,-,-,Left-hand bat,Right-arm medium
191,Jubair Hossain,Jubair Hossain,BDESH,5,4.33,14.77,715.0,30.81,4.13,44.6,Right-hand bat,Legbreak
192,Junaid Khan,Junaid Khan,PAK,28,7.17,39.86,4605.0,31.73,2.93,64.8,Right-hand bat,Left-arm fast
193,Junaid Siddique,Junaid Siddique,BDESH,37,26.18,41.39,18.0,-,3.66,-,Left-hand bat,Right-arm offbreak
194,Mohammad Kaif,M Kaif,INDIA,20,34.64,40.93,-,-,-,-,Right-hand bat,Right-arm offbreak
195,Shantha Kalavitigoda,S Kalavitigoda,SL,2,4.00,14.81,-,-,-,-,Right-hand bat,-
196,Jacques Kallis,JH Kallis,ICC/SA,211,59.55,48.75,15073.0,33.56,2.96,67.8,Right-hand bat,Right-arm fast-medium
197,Suraj Randiv,S Randiv,SL,17,9.18,30.62,3146.0000000000005,37.51,3.07,73.1,Right-hand bat,Right-arm offbreak
198,Romesh Kaluwitharana,RS Kaluwitharana,SL,16,21.62,57.85,-,-,-,-,Right-hand bat,-
199,Kamran Akmal,Kamran Akmal,PAK,92,30.79,63.10,-,-,-,-,Right-hand bat,-
dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Kamrul Islam,Kamrul Islam Rabbi,BDESH,14,5.66,18.14,750.0,63.00,4.03,93.7,Right-hand bat,Right-arm medium-fast
1,Tafadzwa Kamungozi,TP Kamungozi,ZIM,2,2.50,50.00,156.0,58.00,2.23,156.0,Right-hand bat,Legbreak
2,Tyrone Kane,TE Kane,IRE,2,7.00,14.28,156.0,-,3.96,-,Right-hand bat,Right-arm medium-fast
3,Chamara Kapugedera,CK Kapugedera,SL,15,34.83,53.18,12.0,-,4.50,-,Right-hand bat,Right-arm medium
4,Dinesh Karthik,KD Karthik,INDIA,42,25.00,49.27,-,-,-,-,Right-hand bat,Right-arm offbreak
5,Murali Kartik,M Kartik,INDIA,5,6.75,56.25,1047.0,34.06,2.92,69.8,Left-hand bat,Slow left-arm orthodox
6,Chamika Karunaratne,C Karunaratne,SL,2,11.00,51.16,156.0,148.00,5.69,156.0,Right-hand bat,Right-arm medium-fast
7,Dimuth Karunaratne,FDM Karunaratne,SL,128,36.78,48.83,236.99999999999997,74.50,3.77,118.5,Left-hand bat,Right-arm medium
8,Michael Kasprowicz,MS Kasprowicz,AUS,33,9.24,46.38,4090.0,31.69,3.16,60.1,Right-hand bat,Right-arm fast-medium
9,Kevin Kasuza,KT Kasuza,ZIM,4,28.25,30.62,-,-,-,-,Right-hand bat,Right-arm offbreak
10,Simon Katich,SM Katich,AUS,99,45.03,49.36,1039.0,30.23,3.66,49.4,Left-hand bat,Slow left-arm chinaman
11,Tharindu Kaushal,PHT Kaushal,SL,12,10.60,43.44,1658.0,44.20,3.99,66.3,Right-hand bat,Right-arm offbreak
12,Justin Kemp,JM Kemp,SA,6,13.33,32.00,479.0,24.66,2.78,53.2,Right-hand bat,Right-arm fast-medium
13,Simon Kerrigan,SC Kerrigan,ENG,1,-,8.33,48.0,-,6.62,-,Right-hand bat,Slow left-arm orthodox
14,Rob Key,RWT Key,ENG,26,31.00,47.28,-,-,-,-,Right-hand bat,Right-arm offbreak
15,Khaled Mahmud,Khaled Mahmud,BDESH,23,12.09,58.46,1620.0,64.00,3.08,124.6,Right-hand bat,Right-arm medium
16,Khaled Mashud,Khaled Mashud,BDESH,82,18.57,34.35,-,-,-,-,Right-hand bat,-
17,Amjad Khan,A Khan,ENG,-,-,-,174.0,122.00,4.20,174.0,Right-hand bat,Right-arm fast-medium
18,Imraan Khan,I Khan,SA,1,20.00,31.25,-,-,-,-,Left-hand bat,Right-arm offbreak
19,Zaheer Khan,Z Khan,INDIA,126,11.88,51.66,18401.0,32.84,3.27,60.1,Right-hand bat,Left-arm fast-medium
20,Usman Khawaja,UT Khawaja,AUS,77,40.66,50.55,12.0,-,2.50,-,Left-hand bat,Right-arm medium
21,Khurram Manzoor,Khurram Manzoor,PAK,30,28.17,44.71,-,-,-,-,Right-hand bat,Right-arm offbreak
22,Reon King,RD King,WI,9,3.60,29.03,1459.0,42.82,2.99,85.8,Right-hand bat,Right-arm fast-medium
23,Gary Kirsten,G Kirsten,SA,58,52.54,49.08,24.0,-,1.75,-,Left-hand bat,Right-arm offbreak
24,James Kirtley,RJ Kirtley,ENG,7,5.33,24.80,1079.0,29.52,3.11,56.7,Right-hand bat,Right-arm fast-medium
25,Heinrich Klaasen,H Klaasen,SA,2,5.50,32.35,-,-,-,-,Right-hand bat,-
26,Rory Kleinveldt,RK Kleinveldt,SA,5,9.00,44.26,667.0,42.20,3.79,66.7,Right-hand bat,Right-arm fast-medium
27,Lance Klusener,L Klusener,SA,20,22.33,56.77,1626.0,42.26,2.33,108.4,Left-hand bat,Right-arm fast-medium
28,Nick Knight,NV Knight,ENG,2,7.50,32.60,-,-,-,-,Left-hand bat,Right-arm medium
29,Virat Kohli,V Kohli,INDIA,145,53.62,57.68,175.0,-,2.88,-,Right-hand bat,Right-arm medium
30,Jason Krejza,JJ Krejza,AUS,4,23.66,48.63,743.0,43.23,4.53,57.1,Right-hand bat,Right-arm offbreak
31,Heino Kuhn,HG Kuhn,SA,8,14.12,38.04,-,-,-,-,Right-hand bat,-
32,Kosala Kulasekara,CKB Kulasekara,SL,2,11.00,44.00,168.0,80.00,2.85,168.0,Right-hand bat,Right-arm fast-medium
33,Nuwan Kulasekara,KMDN Kulasekara,SL,28,14.48,42.04,3566.9999999999995,37.37,3.01,74.3,Right-hand bat,Right-arm fast-medium
