fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
9,George John Bailey,GJ Bailey,AUS/World,26,24.89,136.70,-,-,-,-,Right-hand bat,Right-arm medium
10,Jonathan Marc Bairstow,JM Bairstow,ENG,32,27.88,139.42,6522.0,33.79,2.92,69.3,Right-hand bat,Right-arm medium
11,James David Baker,JD Baker,Samoa,3,-,128.57,3385.0,43.87,3.03,86.7,Right-hand bat,Right-arm medium-fast
12,Lionel Sionne Baker,LS Baker,WI,-,-,-,12.0,-,0.50,-,Left-hand bat,Right-arm medium-fast
13,Godfred Bakiweyem,G Bakiweyem,Ghana,2,27.00,90.00,240.0,60.50,3.02,120.0,Right-hand bat,Right-arm medium
14,Rexford Bakum,R Bakum,Ghana,4,11.25,100.00,918.0,78.28,3.58,131.1,Right-hand bat,Right-arm medium
15,Lakshmipathy Balaji,L Balaji,INDIA,-,-,-,1460.0,33.27,3.00,66.3,Right-hand bat,Right-arm medium-fast
16,Wandavasi Dorakanti Balaji Rao,WD Balaji Rao,CAN,4,10.66,106.66,-,-,-,-,Left-hand bat,Legbreak googly
17,Vinoo Balakrishnan,V Balakrishnan,Botsw,3,31.50,76.82,6.0,-,3.00,-,-,-
18,Andrew Balbirnie,A Balbirnie,IRE,39,25.54,129.80,-,-,-,-,Right-hand bat,Right-arm offbreak
19,Baljit Singh,Baljit Singh,ITA,3,1.33,25.00,2617.0,41.27,3.12,79.3,Right-hand bat,Right-arm medium
20,Jacob Timothy Ball,JT Ball,ENG,-,-,-,54.0,18.00,2.00,54.0,Right-hand bat,Right-arm fast-medium
21,Cameron Timothy Bancroft,CT Bancroft,AUS,1,-,-,805.9999999999999,30.12,3.58,50.3,Right-hand bat,-
22,Herath Mudiyanselage Charitha Malinga Bandara,HMCM Bandara,SL,3,6.00,80.00,-,-,-,-,Right-hand bat,Legbreak
23,Konara Mudiyanselage Chaminda Bandara,KMC Bandara,SL,1,-,50.00,-,-,-,-,Left-hand bat,Left-arm medium-fast
24,Buddhadeb Banerjee,B Banerjee,Mex,4,4.00,42.10,2703.0,38.11,3.55,64.3,Right-hand bat,-
25,Andrew Alexander Banner,AA Banner,Blz,2,22.00,151.72,78.0,-,5.30,-,Right-hand bat,Right-arm medium
26,Glenford Gilbert Banner,GG Banner,Blz,3,38.50,118.46,852.0,89.33,3.77,142.0,Right-hand bat,-
27,Herbert Hazart Banner,HH Banner,Blz,2,9.00,90.00,-,-,-,-,Left-hand bat,Left-arm medium
28,Tom Banton,T Banton,ENG,3,18.66,164.70,9602.0,37.87,3.90,58.1,Right-hand bat,-
29,Spyridon Bantzas,S Bantzas,,-,-,-,24.0,-,4.75,-,Right-hand bat,Right-arm offbreak
30,Adrian Boris Barath,AB Barath,WI,2,11.50,58.97,18.0,-,6.00,-,Right-hand bat,Right-arm offbreak
31,James Barker,J Barker,LUX,2,8.00,100.00,480.99999999999994,52.60,3.28,96.2,Left-hand bat,-
32,Lucas J Barker,LJ Barker,GUE,8,7.87,91.30,1023.0000000000001,43.93,3.86,68.2,Right-hand bat,Right-arm medium
33,Timothy C Barker,TC Barker,LUX,4,6.75,81.81,863.0,43.16,3.60,71.9,Left-hand bat,-
34,Geoffery Edward Fulton Barnett,GEF Barnett,CAN,5,32.75,96.32,282.0,35.00,2.97,70.5,Left-hand bat,Right-arm medium-fast
35,Christopher Dion Barnwell,CD Barnwell,WI,6,19.50,125.80,-,-,-,-,Right-hand bat,Right-arm medium-fast
36,Pedro Baron,P Baron,Arg,3,14.33,113.15,351.0,51.50,3.52,87.7,Right-hand bat,-
37,Wesley Barresi,W Barresi,NL,41,22.82,114.96,2031.0,39.80,3.52,67.7,Right-hand bat,Right-arm offbreak
38,Miles Cameron Bascombe,MC Bascombe,WI,1,3.00,42.85,2230.0,57.05,2.76,123.8,Right-hand bat,-
39,Okera Bascome,O Bascome,BMUDA,11,13.36,100.00,3554.9999999999995,40.61,3.01,80.7,Right-hand bat,-
40,Onias Greg Lewis Bascome,OGL Bascome,BMUDA,11,10.70,91.45,3890.9999999999995,37.50,3.29,68.2,Right-hand bat,Right-arm medium
41,Oronde Omari Bascome,OO Bascome,BMUDA,3,8.00,82.75,-,-,-,-,Right-hand bat,Right-arm medium
42,Syed Bashir Ahmed Shah,Bashir Shah,DEN,2,-,100.00,570.0,43.11,4.08,63.3,Right-hand bat,Slow left-arm orthodox
43,Basil Hameed,Basil Hameed,UAE,3,12.33,112.12,-,-,-,-,Right-hand bat,Right-arm offbreak
44,Vinoth Baskaran,V Baskaran,SGP,5,9.00,78.26,426.0,130.00,3.66,213.0,Left-hand bat,Slow left-arm orthodox
45,Trevin Callistus Bastiampillai,TC Bastiampillai,CAN,-,-,-,540.0,26.09,3.18,49.0,Right-hand bat,Right-arm offbreak
46,Michael David Bates,MD Bates,NZ,-,-,-,576.0,68.40,3.56,115.2,Right-hand bat,Left-arm medium-fast
47,Gareth Jon Batty,GJ Batty,ENG,1,4.00,57.14,-,-,-,-,Right-hand bat,Right-arm offbreak
48,Dogodo Bau,D Bau,PNG,-,-,-,6.0,-,7.00,-,Right-hand bat,-
49,Sese Bau,S Bau,PNG,17,25.42,105.32,-,-,-,-,Left-hand bat,Right-arm medium
50,Carlton Seymour Baugh,CS Baugh,WI,3,3.33,83.33,-,-,-,-,Right-hand bat,Legbreak googly
51,Temba Bavuma,T Bavuma,SA,5,49.75,136.30,166.0,16.33,3.54,27.6,Right-hand bat,Right-arm medium
52,Farhaan Behardien,F Behardien,SA,30,32.37,128.21,-,-,-,-,Right-hand bat,Right-arm fast-medium
53,Jason Paul Behrendorff,JP Behrendorff,AUS,-,-,-,642.0,51.42,3.36,91.7,Right-hand bat,Left-arm fast-medium
54,Ian Ronald Bell,IR Bell,ENG,8,26.85,115.33,-,-,-,-,Right-hand bat,Right-arm medium
55,Sulieman Jamaal Benn,SJ Benn,WI,7,12.33,88.09,66.0,-,4.27,-,Left-hand bat,Slow left-arm orthodox
56,Hamish Kyle Bennett,HK Bennett,NZ,1,-,50.00,5077.0,42.90,3.54,72.5,Left-hand bat,Right-arm medium-fast
57,David Eddison Bernard,DE Bernard,WI,1,-,100.00,18.0,-,6.33,-,Right-hand bat,Right-arm medium-fast
58,Richard Douglas Berrington,RD Berrington,SCOT,54,28.34,128.95,5804.0,38.81,3.69,63.0,Right-hand bat,Right-arm medium-fast
59,Tino la Bertram Best,TL Best,WI,1,-,188.88,126.0,107.00,5.09,126.0,Right-hand bat,Right-arm fast
60,Aarush Bhagwat,A Bhagwat,HKG,4,1.25,31.25,234.0,27.00,2.76,58.5,Right-hand bat,-
61,Binod Bhandari,B Bhandari,NEPAL,25,16.00,109.74,1293.0,33.56,3.58,56.2,Right-hand bat,Right-arm bowler
62,Minod Bhanuka Ranasinghe,M Bhanuka,SL,1,0.00,0.00,1270.0,44.00,3.74,70.5,Left-hand bat,-
63,Taranjit Singh Bharaj,TS Bharaj,DEN,8,6.50,67.53,-,-,-,-,Right-hand bat,Right-arm offbreak
64,Sri Vishnu Elam Bharathi,SVE Bharathi,GER,-,-,-,12.0,-,4.00,-,-,-
65,Parish Bharat Patel,P Bharat Patel,PNM,1,-,57.14,6412.000000000001,30.40,3.55,51.2,Left-hand bat,Right-arm medium
66,Sushan Bhari,S Bhari,NEPAL,5,0.50,14.28,180.0,99.00,3.30,180.0,Left-hand bat,Slow left-arm orthodox
67,Prithvi Bhart,P Bhart,NOR,3,3.00,17.64,-,-,-,-,Right-hand bat,Right-arm offbreak
68,Amrit Bhattarai,A Bhattarai,NEPAL,1,2.00,66.66,14124.0,32.07,2.98,64.4,Right-hand bat,Left-arm medium
69,Rustam Ali Bhatti,RA Bhatti,CAN,4,8.33,67.56,2.0,-,12.00,-,Right-hand bat,Right-arm offbreak
70,Umar Bhatti,U Bhatti,CAN,7,12.25,102.08,1537.0000000000002,45.25,2.82,96.0,Left-hand bat,Left-arm medium
71,Meet Bhavsar,Meet Bhavsar,KUW,7,17.33,118.18,6.0,-,0.00,-,Left-hand bat,-
72,Rajesh Lalji Bhudia,RL Bhudia,KENYA,3,10.00,100.00,-,-,-,-,Right-hand bat,Right-arm medium
73,Sachin Ramniklal Bhudia,SR Bhudia,KENYA,3,2.00,25.00,-,-,-,-,Right-hand bat,Right-arm medium
74,Machanda Ponnaiah Biddappa,MP Biddappa,PHI,2,35.00,74.46,4767.0,33.97,3.50,58.1,Right-hand bat,-
75,Bilal Ahmed,Bilal Ahmed,Serb,1,19.00,67.85,2000.0,43.60,3.27,80.0,Right-hand bat,Right-arm medium
76,Bilal Khan,Bilal Khan,OMAN,11,6.33,63.33,30.0,-,2.20,-,Left-hand bat,Left-arm medium-fast
77,Bilal Mohammad Tahir Ghulam Hussain,Bilal Tahir,KUW,7,13.33,125.00,-,-,-,-,Right-hand bat,-
78,Mahammad Bilal Zalmai,Bilal Zalmai,Aut,4,69.33,190.82,7793.0,30.63,3.39,54.1,Right-hand bat,Right-arm offbreak
79,Bilawal Bhatti,Bilawal Bhatti,PAK,4,11.50,164.28,1112.0,57.30,3.09,111.2,Right-hand bat,Right-arm medium-fast
80,Ian Shaw Billcliff,IS Billcliff,CAN,2,25.50,130.76,12.0,-,2.00,-,Right-hand bat,Right-arm medium
81,Samuel William Billings,SW Billings,ENG/ICC,23,17.40,136.47,186.0,106.00,3.41,186.0,Right-hand bat,-
82,Stuart Terence Roger Binny,STR Binny,INDIA,2,17.50,120.68,1800.0,80.00,3.20,150.0,Right-hand bat,Right-arm medium
83,Karl Johan Birkenstock,K Birkenstock,NAM,2,32.00,193.93,-,-,-,-,Left-hand bat,Right-arm fast-medium
84,Travis Rodney Birt,TR Birt,AUS,3,10.33,93.93,6851.0,43.76,2.64,99.2,Left-hand bat,Right-arm medium
85,Kamal Kumar Bishnoi,KK Bishnoi,,2,16.00,88.88,168.0,38.50,2.75,84.0,Right-hand bat,Right-arm medium
86,Devendra Bishoo,D Bishoo,WI,4,8.50,58.62,6.0,-,4.00,-,Left-hand bat,Legbreak
87,Corey Peter Frank Bisson,C Bisson,JER,14,18.83,127.68,-,-,-,-,Right-hand bat,Right-arm medium
88,John Angus Rae Blain,JAR Blain,SCOT,3,2.00,80.00,10872.0,42.32,2.91,86.9,Right-hand bat,Right-arm fast-medium
89,Callum Charles Blake,CC Blake,VAN,-,-,-,11384.0,28.24,2.84,59.6,Right-hand bat,Right-arm medium
90,Dominic G Blampied,DG Blampied,JER,15,24.55,99.54,868.0,28.68,4.36,39.4,Right-hand bat,Legbreak
91,Arnoldus Mauritius Blignaut,AM Blignaut,ZIM,1,8.00,100.00,2212.0,31.00,3.86,48.0,Left-hand bat,Right-arm medium-fast
92,Thomas Ackland Blundell,TA Blundell,NZ,2,17.00,80.95,669.0,85.60,3.83,133.8,Right-hand bat,Right-arm offbreak
93,Gulam Hussain Bodi,GH Bodi,SA,1,8.00,32.00,156.0,38.00,4.38,52.0,Left-hand bat,Slow left-arm chinaman
94,Abinash Bohara,A Bohara,NEPAL,7,4.25,89.47,198.0,111.00,3.36,198.0,Right-hand bat,Right-arm medium
95,Philippe Ronald Peter Boissevain,PRP Boissevain,NL,2,7.00,100.00,-,-,-,-,Right-hand bat,Legbreak googly
96,Nico Boje,N Boje,SA,-,-,-,428.0,37.25,4.17,53.5,Left-hand bat,Slow left-arm orthodox
97,Scott Michael Boland,SM Boland,AUS,-,-,-,234.0,-,4.56,-,Right-hand bat,Right-arm fast-medium
98,Douglas Erwin Bollinger,DE Bollinger,AUS,2,-,100.00,-,-,-,-,Left-hand bat,Left-arm fast-medium
99,Shane Edward Bond,SE Bond,NZ,8,4.20,100.00,18.0,-,0.66,-,Right-hand bat,Right-arm fast
100,Nkrumah Eljego Bonner,NE Bonner,WI,2,13.50,71.05,3001.0,35.93,3.23,66.6,Right-hand bat,Legbreak
101,Ravinder Singh Bopara,RS Bopara,ENG,35,28.44,118.69,-,-,-,-,Right-hand bat,Right-arm medium
102,Peter William Borren,PW Borren,NL,38,19.33,121.75,-,-,-,-,Right-hand bat,Right-arm medium
103,Scott George Borthwick,SG Borthwick,ENG,1,14.00,87.50,-,-,-,-,Left-hand bat,Legbreak
104,Lungile Edgar Bosman,LE Bosman,SA,14,24.84,147.48,-,-,-,-,Right-hand bat,Right-arm medium
105,Andre Cornelius Botha,AC Botha,IRE,11,13.00,92.19,26865.999999999996,32.13,2.84,67.8,Left-hand bat,Right-arm medium
106,Johan Botha,J Botha,SA,20,18.27,121.81,594.0,21.15,2.77,45.6,Right-hand bat,Right-arm offbreak
107,Mark Verdon Boucher,MV Boucher,SA,21,17.86,97.45,1148.0,29.40,3.07,57.4,Right-hand bat,Right-arm medium
108,Trent Alexander Boult,TA Boult,NZ,8,4.40,68.75,13375.0,31.82,3.22,59.1,Right-hand bat,Left-arm fast-medium
109,Cameron John Boyce,CJ Boyce,AUS,2,4.00,57.14,318.0,166.00,3.13,318.0,Right-hand bat,Legbreak
110,Thomas Sebastiaan Braat,TS Braat,NL,2,3.00,85.71,-,-,-,-,Right-hand bat,Right-arm medium-fast
111,Douglas Andrew John Bracewell,DAJ Bracewell,NZ,10,24.20,145.78,8809.0,37.87,2.65,85.5,Right-hand bat,Right-arm fast-medium
112,Nathan Wade Bracken,NW Bracken,AUS,6,5.00,68.18,5736.0,23.52,2.78,50.7,Right-hand bat,Left-arm fast-medium
113,Ian David Russell Bradshaw,IDR Bradshaw,WI,1,-,-,-,-,-,-,Left-hand bat,Left-arm fast-medium
114,Derrick Lorenzo Brangman,DL Brangman,BMUDA,4,11.50,92.00,135.0,43.50,3.86,67.5,Left-hand bat,Slow left-arm orthodox
115,Carlos Ricardo Brathwaite,CR Brathwaite,WI,27,14.76,113.13,1737.0,28.90,3.09,56.0,Right-hand bat,Right-arm fast-medium
116,Dwayne John Bravo,DJ Bravo,WI,60,23.97,116.49,6.0,-,1.00,-,Right-hand bat,Right-arm medium
117,Darren Michael Bravo,DM Bravo,WI,18,20.00,107.25,-,-,-,-,Left-hand bat,Right-arm medium
118,Jeremy Paul Bray,JP Bray,IRE,2,1.00,11.76,630.0,96.00,4.57,126.0,Left-hand bat,-
119,Gary Bazil Brent,GB Brent,ZIM,1,2.00,40.00,234.0,153.00,3.92,234.0,Right-hand bat,Right-arm medium
120,Timothy Thomas Bresnan,TT Bresnan,ENG,22,16.61,127.05,4200.0,34.98,3.14,66.6,Right-hand bat,Right-arm medium-fast
121,Danny Richard Briggs,DR Briggs,ENG,1,-,-,42.0,-,4.42,-,Right-hand bat,Slow left-arm orthodox
122,Stuart Christopher John Broad,SCJ Broad,ENG,26,7.37,100.00,1787.0,31.48,3.70,51.0,Left-hand bat,Right-arm fast-medium
123,Neil Trevor Broom,NT Broom,NZ,7,12.16,107.35,11019.0,26.20,2.78,56.5,Right-hand bat,Right-arm medium
124,Douglas Robert Brown,DR Brown,SCOT,1,1.00,20.00,126.0,-,3.61,-,Right-hand bat,Right-arm fast-medium
125,Patrick Rhys Brown,PR Brown,ENG,1,-,44.44,1962.0,42.18,2.83,89.1,Right-hand bat,Right-arm fast-medium
126,Dean Graham Brownlie,DG Brownlie,NZ,5,1.20,33.33,230.99999999999997,29.16,4.54,38.5,Right-hand bat,Right-arm medium
127,Thomas Charles Bruce,TC Bruce,NZ,17,18.60,122.36,330.0,82.00,2.98,165.0,Right-hand bat,Right-arm offbreak
128,Paolo Buccimazza,P Buccimazza,PORT,2,1.00,15.38,2761.0,50.16,3.27,92.0,Right-hand bat,-
129,Nic Buckle,N Buckle,GUE,1,-,100.00,25359.999999999996,27.74,2.80,59.3,Right-hand bat,Right-arm medium
130,Naresh Bahadur Budayair,NB Budayair,NEPAL,3,3.50,36.84,-,-,-,-,Right-hand bat,Right-arm bowler
131,Dylan Evers Budge,DE Budge,SCOT,4,30.00,101.69,162.0,20.50,1.51,81.0,Right-hand bat,Right-arm medium
132,Trevor Bukenya,T Bukenya,UGA,2,-,100.00,24.0,-,2.00,-,Right-hand bat,Right-arm medium-fast
133,Mudassar Bukhari,Mudassar Bukhari,NL,26,8.72,103.28,6078.0,28.50,2.78,61.3,Right-hand bat,Right-arm medium-fast
134,Jose Bulele,J Bulele,Moz,7,9.28,68.42,1743.0,66.92,2.99,134.0,Right-hand bat,Right-arm offbreak
135,Anders Bulow,A Bulow,DEN,1,11.00,84.61,1123.0,36.87,3.15,70.1,Right-hand bat,Right-arm medium
136,Jasprit Jasbirsingh Bumrah,JJ Bumrah,INDIA,6,4.00,61.53,12.0,-,4.00,-,Right-hand bat,Right-arm fast
137,Daniel Enese Burgess,DE Burgess,Samoa,4,1.50,50.00,1422.0,54.00,3.64,88.8,Right-hand bat,Right-arm medium
138,Ryan Ponsonby Burl,RP Burl,ZIM,13,25.40,114.93,13831.0,30.30,3.26,55.7,Left-hand bat,Legbreak
139,Calvin Gary Burnett,CG Burnett,SCOT,-,-,-,7158.0,26.72,2.57,62.2,Left-hand bat,Right-arm medium-fast
140,Deighton Kelvin Butler,DK Butler,WI,-,-,-,960.0,63.77,3.58,106.6,Left-hand bat,Left-arm fast-medium
141,Ian Gareth Butler,IG Butler,NZ,6,5.00,50.00,1486.0,36.85,3.12,70.7,Right-hand bat,Right-arm fast
142,Josh Butler,J Butler,GUE,8,28.71,93.92,3395.0,60.14,2.23,161.6,Right-hand bat,Right-arm medium
143,Joseph Charles Buttler,JC Buttler,ENG,61,26.68,139.68,-,-,-,-,Right-hand bat,-
144,Atse Folkert Buurman,AF Buurman,NL,2,0.00,0.00,-,-,-,-,Right-hand bat,-
145,Sean Byrne,S Byrne,MALTA,2,1.50,33.33,-,-,-,-,Right-hand bat,Legbreak
146,Christopher Lance Cairns,CL Cairns,NZ,2,1.50,23.07,-,-,-,-,Right-hand bat,Right-arm fast-medium
147,Greigor Caisley,G Caisley,,4,13.00,88.13,12.0,-,2.00,-,Right-hand bat,Right-arm medium
148,John Dillon Campbell,JD Campbell,WI,2,5.50,68.75,-,-,-,-,Left-hand bat,Right-arm offbreak
149,Ryan John Campbell,RJ Campbell,HKG,3,12.00,76.59,-,-,-,-,Right-hand bat,Right-arm offbreak
150,Michael Alexander Carberry,MA Carberry,ENG,1,7.00,100.00,-,-,-,-,Left-hand bat,Right-arm offbreak
151,Alex Tyson Carey,AT Carey,AUS,16,14.41,124.46,588.0,43.71,3.12,84.0,Left-hand bat,-
152,Harrison Lee Carlyon,HL Carlyon,JER,8,19.50,119.08,-,-,-,-,Right-hand bat,Right-arm offbreak
153,Christopher Carter,C Carter,HKG,5,13.75,87.30,188.0,141.00,4.50,188.0,Right-hand bat,-
154,Neil Miller Carter,NM Carter,SCOT,2,2.00,33.33,84.0,-,4.42,-,Left-hand bat,Left-arm medium-fast
155,Alex Carthew,A Carthew,Chile,1,-,100.00,-,-,-,-,Right-hand bat,Right-arm offbreak
156,Tim Caruana,T Caruana,GIBR,1,5.00,38.46,-,-,-,-,-,-
157,Darren Cato,D Cato,Caym,3,10.00,50.84,-,-,-,-,Right-hand bat,Right-arm medium
158,James Joseph Celestine,JJ Celestine,BMUDA,3,3.00,52.94,-,-,-,-,Right-hand bat,Right-arm slow-medium
159,Yuzvendra Singh Chahal,YS Chahal,INDIA,4,2.50,45.45,426.99999999999994,94.66,3.99,142.3,Right-hand bat,Legbreak googly
160,Deepak Lokandersingh Chahar,DL Chahar,INDIA,2,-,100.00,1635.9999999999998,31.62,3.36,56.4,Right-hand bat,Right-arm medium
161,Rahul Desraj Chahar,RD Chahar,INDIA,-,-,-,-,-,-,-,Right-hand bat,Legbreak googly
162,Regis Wiriranai Chakabva,RW Chakabva,ZIM,12,14.45,118.65,3925.0,40.24,3.50,68.8,Right-hand bat,Right-arm offbreak
163,Pathira Vasan Dushmantha Chameera,PVD Chameera,SL,10,7.75,77.50,24.0,-,3.00,-,Right-hand bat,Right-arm fast
164,Shivnarine Chanderpaul,S Chanderpaul,WI,22,20.17,98.84,-,-,-,-,Left-hand bat,Legbreak
165,Lokuge Dinesh Chandimal,LD Chandimal,SL,47,18.60,104.43,-,-,-,-,Right-hand bat,Right-arm offbreak
166,Vimal Dinesh Chandra,VD Chandra,PNM,2,18.50,123.33,-,-,-,-,Right-hand bat,-
167,Surendran Chandramohan,S Chandramohan,SGP,15,31.14,119.12,12912.0,24.62,2.43,60.6,Right-hand bat,-
168,Pradeep Chandran,P Chandran,Mex,3,10.33,65.95,66.0,9.00,1.63,33.0,Right-hand bat,Right-arm medium
169,Mark Sinclair Chapman,MS Chapman,HKG/NZ,23,22.61,114.18,138.0,96.00,4.17,138.0,Left-hand bat,Slow left-arm orthodox
170,Charanjeet Singh,Charanjeet Singh,ITA,2,-,88.88,-,-,-,-,Right-hand bat,Right-arm medium
171,Brian Bara Chari,BB Chari,ZIM,3,7.00,67.74,342.0,16.33,2.57,38.0,Right-hand bat,Right-arm offbreak
172,Johnson Charles,J Charles,WI,33,21.93,121.68,-,-,-,-,Right-hand bat,-
173,Peter Karl David Chase,PKD Chase,IRE,5,7.00,53.84,2511.0,29.43,3.23,54.5,Right-hand bat,Right-arm medium-fast
174,Tendai Larry Chatara,TL Chatara,ZIM,3,5.00,83.33,6.0,-,9.00,-,Right-hand bat,Right-arm fast-medium
175,Gopal Chaturvedi,G Chaturvedi,MALTA,2,24.50,168.96,6.0,-,12.00,-,Right-hand bat,Right-arm offbreak
176,Maneesh Chauhan,M Chauhan,Fin,2,8.00,200.00,42.0,-,6.42,-,Right-hand bat,Right-arm medium
177,Piyush Pramod Chawla,PP Chawla,INDIA,1,0.00,0.00,4837.0,30.29,2.29,79.2,Left-hand bat,Legbreak
178,Namgang Chejay,N Chejay,BHU,-,-,-,185.0,50.00,3.24,92.5,Right-hand bat,-
179,Chisomo Chete,C Chete,MWI,-,-,-,-,-,-,-,Right-hand bat,-
180,Chamunorwa Justice Chibhabha,CJ Chibhabha,ZIM,32,19.40,108.94,73.0,-,4.52,-,Right-hand bat,Right-arm medium
181,Elton Chigumbura,E Chigumbura,ZIM,53,19.36,142.71,24.0,-,2.25,-,Right-hand bat,Right-arm fast-medium
182,Vijayshankar Bangalore Chikkannaiah,VB Chikkannaiah,GER,9,24.87,93.86,16001.0,28.40,3.33,51.1,Right-hand bat,-
183,Jelany Wotanasanga Chilia,JW Chilia,VAN,7,18.00,100.00,547.0,17.18,3.01,34.1,Right-hand bat,Right-arm offbreak
184,Chirag Suri,Chirag Suri,UAE,12,35.20,115.78,-,-,-,-,Right-hand bat,"Right-arm offbreak, Legbreak googly"
185,Tendai Sam Chisoro,TS Chisoro,ZIM,6,10.00,95.23,-,-,-,-,Left-hand bat,"Left-arm fast-medium, Slow left-arm orthodox"
186,Sonam Chophel,S Chophel,BHU,1,-,40.00,2821.0,28.23,3.54,47.8,Right-hand bat,-
187,Derwin O'Neil Christian,DO Christian,WI,1,0.00,0.00,1530.0,35.80,2.94,72.8,Right-hand bat,-
188,Daniel Trevor Christian,DT Christian,AUS,7,6.75,96.42,1862.0,35.82,3.23,66.5,Right-hand bat,Right-arm fast-medium
189,Kyle Christie,K Christie,HKG,4,7.50,75.00,12.0,-,4.00,-,Right-hand bat,Right-arm medium-fast
190,Ivan Civric,I Civric,Serb,1,0.00,0.00,-,-,-,-,Right-hand bat,Right-arm medium
191,Stuart Rupert Clark,SR Clark,AUS,-,-,-,715.0,30.81,4.13,44.6,Right-hand bat,Right-arm fast-medium
192,Michael John Clarke,MJ Clarke,AUS,28,21.21,103.17,4605.0,31.73,2.93,64.8,Right-hand bat,Slow left-arm orthodox
193,Gihahn Love Cloete,GL Cloete,SA,2,7.50,100.00,18.0,-,3.66,-,Left-hand bat,Right-arm offbreak
194,Kyle James Coetzer,KJ Coetzer,SCOT,56,25.66,122.00,-,-,-,-,Right-hand bat,Right-arm medium-fast
195,Freddie Robert John Coleman,FRJ Coleman,SCOT,1,9.00,69.23,-,-,-,-,Right-hand bat,-
196,Luke A Collado,LA Collado,GIBR,3,18.00,52.94,15073.0,33.56,2.96,67.8,-,-
197,Paul David Collingwood,PD Collingwood,ENG/World,33,18.80,127.01,3146.0000000000005,37.51,3.07,73.1,Right-hand bat,Right-arm medium
198,Nathan Grant Collins,NG Collins,Fin,5,30.20,92.07,-,-,-,-,Right-hand bat,Right-arm offbreak
199,Peter Christopher Connell,PC Connell,IRE,3,4.00,57.14,-,-,-,-,Right-hand bat,Right-arm medium-fast
fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Alastair Nathan Cook,AN Cook,ENG,4,15.25,112.96,750.0,63.00,4.03,93.7,Left-hand bat,Right-arm slow
1,Benjamin Nicolas Cooper,BN Cooper,NL,48,28.05,122.92,156.0,58.00,2.23,156.0,Left-hand bat,Right-arm medium
2,Tom Lexley William Cooper,TLW Cooper,NL,17,28.85,132.02,156.0,-,3.96,-,Right-hand bat,Right-arm offbreak
3,Muthuthantrige Nilantha Rohana Cooray,MNR Cooray,Mald,6,34.00,114.86,12.0,-,4.50,-,Right-hand bat,Legbreak
4,Marcus Cope,M Cope,LUX,2,13.00,86.66,-,-,-,-,Right-hand bat,Right-arm offbreak
5,Filipe Antonio Cossa,FA Cossa,Moz,6,20.50,91.11,1047.0,34.06,2.92,69.8,Right-hand bat,Right-arm medium
6,Sean James Cotter,SJ Cotter,Samoa,4,13.00,83.87,156.0,148.00,5.69,156.0,Right-hand bat,Right-arm medium
7,Sheldon Shane Cottrell,SS Cottrell,WI,7,5.00,68.18,236.99999999999997,74.50,3.77,118.5,Right-hand bat,Left-arm fast-medium
8,Nathan Mitchell Coulter-Nile,NM Coulter-Nile,AUS,15,13.63,125.00,4090.0,31.69,3.16,60.1,Right-hand bat,Right-arm fast
9,Charles Kevin Coventry,CK Coventry,ZIM,12,12.70,141.11,-,-,-,-,Right-hand bat,Legbreak
10,Mason Sidney Crane,MS Crane,ENG,-,-,-,1039.0,30.23,3.66,49.4,Right-hand bat,Legbreak googly
11,Alexander Graeme Cremer,AG Cremer,ZIM,19,5.23,66.66,1658.0,44.20,3.99,66.3,Right-hand bat,Legbreak googly
12,Matthew Henry Cross,MH Cross,SCOT,35,26.03,127.31,479.0,24.66,2.78,53.2,Right-hand bat,-
13,Patrick James Cummins,PJ Cummins,AUS,11,5.00,94.59,48.0,-,6.62,-,Right-hand bat,Right-arm fast
14,Samuel Matthew Curran,SM Curran,ENG,3,11.66,152.17,-,-,-,-,Left-hand bat,Left-arm medium-fast
15,Thomas Kevin Curran,TK Curran,ENG,8,12.66,131.03,1620.0,64.00,3.08,124.6,Right-hand bat,Right-arm fast-medium
16,Alex Richard Cusack,AR Cusack,IRE,21,15.26,129.37,-,-,-,-,Right-hand bat,Right-arm medium-fast
17,Joel Cutinho,J Cutinho,CRC,3,31.00,94.89,174.0,122.00,4.20,174.0,Left-hand bat,Right-arm offbreak
18,Benjamin Colin James Cutting,BCJ Cutting,AUS/World,5,10.00,148.14,-,-,-,-,Right-hand bat,Right-arm fast-medium
19,Darius Del Piero D'Silva,DDP D'Silva,UAE,8,32.50,89.04,18401.0,32.84,3.27,60.1,Right-hand bat,Right-arm medium
20,Keith Mbusi Dabengwa,KM Dabengwa,ZIM,7,11.50,115.00,12.0,-,2.50,-,Left-hand bat,Slow left-arm orthodox
21,Damodar Daesrath,D Daesrath,CAN,-,-,-,-,-,-,-,Right-hand bat,Right-arm offbreak
22,Dad Khoda Dahani,DK Dahani,Iran,3,2.33,87.50,1459.0,42.82,2.99,85.8,Right-hand bat,-
23,Dilip Kumar Dahyabhai Ahir,DK Dahyabhai Ahir,PNM,1,7.00,70.00,24.0,-,1.75,-,Right-hand bat,Right-arm medium
