urlEnd,Team1,Team2,Venue,Country,StartDate,TossWin,TossElect,Score1,Score2,Score3,Score4,Winner,Margin
63914,SRL,RSA,Cape Town,RSA,2 Jan 2001,SRL,bat,95,504/7d,180,-,RSA,an innings and 229 runs
63915,RSA,SRL,Centurion,RSA,20 Jan 2001,SRL,bowl,378,119,252 (f/o),-,RSA,an innings and 7 runs
63951,IND,RSA,Bloemfontein,RSA,3 Nov 2001,RSA,bowl,379,563,237,54/1,RSA,9 wickets
63952,RSA,IND,Port Elizabeth,RSA,16 Nov 2001,IND,bowl,362,201,233/5d,206/3,draw,-
63978,AUS,RSA,Johannesburg,RSA,22 Feb 2002,AUS,bat,652/7d,159,133 (f/o),-,AUS,an innings and 360 runs
63979,RSA,AUS,Cape Town,RSA,8 Mar 2002,RSA,bat,239,382,473,334/6,AUS,4 wickets
63980,AUS,RSA,Durban,RSA,15 Mar 2002,RSA,bowl,315,167,186,340/5,RSA,5 wickets
64007,RSA,BAN,East London,RSA,18 Oct 2002,BAN,bowl,529/4d,170,252 (f/o),-,RSA,an innings and 107 runs
64008,BAN,RSA,Potchefstroom,RSA,25 Oct 2002,BAN,bat,215,482/5d,107,-,RSA,an innings and 160 runs
64014,SRL,RSA,Johannesburg,RSA,8 Nov 2002,SRL,bat,192,386,130,-,RSA,an innings and 64 runs
64015,SRL,RSA,Centurion,RSA,15 Nov 2002,RSA,bowl,323,448,245,124/7,RSA,3 wickets
64022,RSA,PAK,Durban,RSA,26 Dec 2002,PAK,bowl,368,161,250 (f/o),45/0,RSA,10 wickets
64023,RSA,PAK,Cape Town,RSA,2 Jan 2003,RSA,bat,620/7d,252,226 (f/o),-,RSA,an innings and 142 runs
64063,RSA,WIN,Johannesburg,RSA,12 Dec 2003,RSA,bat,561,410,226/6d,188,RSA,189 runs
64064,WIN,RSA,Durban,RSA,26 Dec 2003,RSA,bowl,264,658/9d,329,-,RSA,an innings and 65 runs
64065,RSA,WIN,Cape Town,RSA,2 Jan 2004,RSA,bat,532,427,335/3d,354/5,draw,-
64066,RSA,WIN,Centurion,RSA,16 Jan 2004,WIN,bowl,604/6d,301,348 (f/o),46/0,RSA,10 wickets
64116,RSA,ENG,Port Elizabeth,RSA,17 Dec 2004,RSA,bat,337,425,229,145/3,ENG,7 wickets
64117,ENG,RSA,Durban,RSA,26 Dec 2004,RSA,bowl,139,332,570/7d,290/8,draw,-
64118,RSA,ENG,Cape Town,RSA,2 Jan 2005,RSA,bat,441,163,222/8d,304,RSA,196 runs
64119,ENG,RSA,Johannesburg,RSA,13 Jan 2005,ENG,bat,411/8d,419,332/9d,247,ENG,77 runs
64120,RSA,ENG,Centurion,RSA,21 Jan 2005,ENG,bowl,247,359,296/6d,73/4,draw,-
64123,ZIM,RSA,Cape Town,RSA,4 Mar 2005,ZIM,bat,54,340/3d,265,-,RSA,an innings and 21 runs
64124,ZIM,RSA,Centurion,RSA,11 Mar 2005,RSA,bowl,269,480/7d,149,-,RSA,an innings and 62 runs
238201,RSA,AUS,Cape Town,RSA,16 Mar 2006,RSA,bat,205,308,197,95/3,AUS,7 wickets
238202,AUS,RSA,Durban,RSA,24 Mar 2006,AUS,bat,369,267,307/4d,297,AUS,112 runs
238203,RSA,AUS,Johannesburg,RSA,31 Mar 2006,RSA,bat,303,270,258,294/8,AUS,2 wickets
238205,RSA,NZL,Centurion,RSA,15 Apr 2006,RSA,bat,276,327,299,120,RSA,128 runs
238206,NZL,RSA,Cape Town,RSA,27 Apr 2006,RSA,bowl,593/8d,512,121/3,-,draw,-
238207,NZL,RSA,Johannesburg,RSA,5 May 2006,RSA,bowl,119,186,283,220/6,RSA,4 wickets
249215,IND,RSA,Johannesburg,RSA,15 Dec 2006,IND,bat,249,84,236,278,IND,123 runs
249216,RSA,IND,Durban,RSA,26 Dec 2006,RSA,bat,328,240,265/8d,179,RSA,174 runs
249217,IND,RSA,Cape Town,RSA,2 Jan 2007,IND,bat,414,373,169,211/5,RSA,5 wickets
250665,PAK,RSA,Centurion,RSA,11 Jan 2007,PAK,bat,313,417,302,199/3,RSA,7 wickets
250666,RSA,PAK,Port Elizabeth,RSA,19 Jan 2007,RSA,bat,124,265,331,191/5,PAK,5 wickets
250667,PAK,RSA,Cape Town,RSA,26 Jan 2007,RSA,bowl,157,183,186,161/5,RSA,5 wickets
298793,RSA,NZL,Johannesburg,RSA,8 Nov 2007,RSA,bat,226,118,422/3d,172,RSA,358 runs
298794,NZL,RSA,Centurion,RSA,16 Nov 2007,NZL,bat,188,383,136,-,RSA,an innings and 59 runs
298801,WIN,RSA,Port Elizabeth,RSA,26 Dec 2007,RSA,bowl,408,195,175,260,WIN,128 runs
298802,WIN,RSA,Cape Town,RSA,2 Jan 2008,WIN,bat,243,321,262,186/3,RSA,7 wickets
298803,WIN,RSA,Durban,RSA,10 Jan 2008,RSA,bowl,139,556/4d,317,-,RSA,an innings and 100 runs
350345,RSA,BAN,Bloemfontein,RSA,19 Nov 2008,BAN,bowl,441,153,159 (f/o),-,RSA,an innings and 129 runs
350346,BAN,RSA,Centurion,RSA,26 Nov 2008,BAN,bat,250,429,131,-,RSA,an innings and 48 runs
350472,AUS,RSA,Johannesburg,RSA,26 Feb 2009,AUS,bat,466,220,207,291,AUS,162 runs
350473,AUS,RSA,Durban,RSA,6 Mar 2009,AUS,bat,352,138,331/5d,370,AUS,175 runs
350474,AUS,RSA,Cape Town,RSA,19 Mar 2009,AUS,bat,209,651,422,-,RSA,an innings and 20 runs
387570,RSA,ENG,Centurion,RSA,16 Dec 2009,ENG,bowl,418,356,301/7d,228/9,draw,-
387571,RSA,ENG,Durban,RSA,26 Dec 2009,RSA,bat,343,574/9d,133,-,ENG,an innings and 98 runs
387572,RSA,ENG,Cape Town,RSA,3 Jan 2010,ENG,bowl,291,273,447/7d,296/9,draw,-
387573,ENG,RSA,Johannesburg,RSA,14 Jan 2010,ENG,bat,180,423/7d,169,-,RSA,an innings and 74 runs
463146,IND,RSA,Centurion,RSA,16 Dec 2010,RSA,bowl,136,620/4d,459,-,RSA,an innings and 25 runs
463147,IND,RSA,Durban,RSA,26 Dec 2010,RSA,bowl,205,131,228,215,IND,87 runs
463148,RSA,IND,Cape Town,RSA,2 Jan 2011,IND,bowl,362,364,341,166/3,draw,-
514029,AUS,RSA,Cape Town,RSA,9 Nov 2011,RSA,bowl,284,96,47,236/2,RSA,8 wickets
514030,RSA,AUS,Johannesburg,RSA,17 Nov 2011,RSA,bat,266,296,339,310/8,AUS,2 wickets
514032,SRL,RSA,Centurion,RSA,15 Dec 2011,RSA,bowl,180,411,150,-,RSA,an innings and 81 runs
514033,SRL,RSA,Durban,RSA,26 Dec 2011,SRL,bat,338,168,279,241,SRL,208 runs
514034,RSA,SRL,Cape Town,RSA,3 Jan 2012,SRL,bowl,580/4d,239,342 (f/o),2/0,RSA,10 wickets
567356,NZL,RSA,Cape Town,RSA,2 Jan 2013,NZL,bat,45,347/8d,275,-,RSA,an innings and 27 runs
567357,RSA,NZL,Port Elizabeth,RSA,11 Jan 2013,RSA,bat,525/8d,121,211 (f/o),-,RSA,an innings and 193 runs
567363,RSA,PAK,Johannesburg,RSA,1 Feb 2013,RSA,bat,253,49,275/3d,268,RSA,211 runs
567364,PAK,RSA,Cape Town,RSA,14 Feb 2013,RSA,bowl,338,326,169,182/6,RSA,4 wickets
567365,RSA,PAK,Centurion,RSA,22 Feb 2013,RSA,bat,409,156,235 (f/o),-,RSA,an innings and 18 runs
648665,IND,RSA,Johannesburg,RSA,18 Dec 2013,IND,bat,280,244,421,450/7,draw,-
648667,IND,RSA,Durban,RSA,26 Dec 2013,IND,bat,334,500,223,59/0,RSA,10 wickets
648673,AUS,RSA,Centurion,RSA,12 Feb 2014,RSA,bowl,397,206,290/4d,200,AUS,281 runs
648675,RSA,AUS,Port Elizabeth,RSA,20 Feb 2014,RSA,bat,423,246,270/5d,216,RSA,231 runs
648677,AUS,RSA,Cape Town,RSA,1 Mar 2014,AUS,bat,494/7d,287,303/5d,265,AUS,245 runs
722329,RSA,WIN,Centurion,RSA,17 Dec 2014,WIN,bowl,552/5d,201,131 (f/o),-,RSA,an innings and 220 runs
722331,RSA,WIN,Port Elizabeth,RSA,26 Dec 2014,WIN,bowl,417/8d,275/9,-,-,draw,-
722333,WIN,RSA,Cape Town,RSA,2 Jan 2015,WIN,bat,329,421,215,124/2,RSA,8 wickets
800461,ENG,RSA,Durban,RSA,26 Dec 2015,RSA,bowl,303,214,326,174,ENG,241 runs
800463,ENG,RSA,Cape Town,RSA,2 Jan 2016,ENG,bat,629/6d,627/7d,159/6,-,draw,-
800465,RSA,ENG,Johannesburg,RSA,14 Jan 2016,RSA,bat,313,323,83,74/3,ENG,7 wickets
800467,RSA,ENG,Centurion,RSA,22 Jan 2016,RSA,bat,475,342,248/5d,101,RSA,280 runs
936127,RSA,NZL,Durban,RSA,19 Aug 2016,RSA,bat,263,15/2,-,-,draw,-
936129,RSA,NZL,Centurion,RSA,27 Aug 2016,NZL,bowl,481/8d,214,132/7d,195,RSA,204 runs
936147,RSA,SRL,Port Elizabeth,RSA,26 Dec 2016,RSA,bat,286,205,406/6d,281,RSA,206 runs
936149,RSA,SRL,Cape Town,RSA,2 Jan 2017,SRL,bowl,392,110,224/7d,224,RSA,282 runs
936151,RSA,SRL,Johannesburg,RSA,12 Jan 2017,RSA,bat,426,131,177 (f/o),-,RSA,an innings and 118 runs
1075502,RSA,BAN,Potchefstroom,RSA,28 Sep 2017,BAN,bowl,496/3d,320,247/6d,90,RSA,333 runs
1075503,RSA,BAN,Bloemfontein,RSA,6 Oct 2017,BAN,bowl,573/4d,147,172 (f/o),-,RSA,an innings and 254 runs
1122310,RSA,ZIM,Port Elizabeth,RSA,26 Dec 2017,RSA,bat,309/9d,68,121 (f/o),-,RSA,an innings and 120 runs
1122276,RSA,IND,Cape Town,RSA,5 Jan 2018,RSA,bat,286,209,130,135,RSA,72 runs
1122277,RSA,IND,Centurion,RSA,13 Jan 2018,RSA,bat,335,307,258,151,RSA,135 runs
1122278,IND,RSA,Johannesburg,RSA,24 Jan 2018,IND,bat,187,194,247,177,IND,63 runs
1075982,AUS,RSA,Durban,RSA,1 Mar 2018,AUS,bat,351,162,227,298,AUS,118 runs
1075983,AUS,RSA,Port Elizabeth,RSA,9 Mar 2018,AUS,bat,243,382,239,102/4,RSA,6 wickets
1075984,RSA,AUS,Cape Town,RSA,22 Mar 2018,RSA,bat,311,255,373,107,RSA,322 runs
1075985,RSA,AUS,Johannesburg,RSA,30 Mar 2018,RSA,bat,488,221,344/6d,119,RSA,492 runs
1144153,PAK,RSA,Centurion,RSA,26 Dec 2018,PAK,bat,181,223,190,151/4,RSA,6 wickets
1144154,PAK,RSA,Cape Town,RSA,3 Jan 2019,RSA,bowl,177,431,294,43/1,RSA,9 wickets
1144155,RSA,PAK,Johannesburg,RSA,11 Jan 2019,RSA,bat,262,185,303,273,RSA,107 runs
1144164,RSA,SRL,Durban,RSA,13 Feb 2019,SRL,bowl,235,191,259,304/9,SRL,1 wicket
1144165,RSA,SRL,Port Elizabeth,RSA,21 Feb 2019,RSA,bat,222,154,128,197/2,SRL,8 wickets
1185304,RSA,ENG,Centurion,RSA,26 Dec 2019,ENG,bowl,284,181,272,268,RSA,107 runs
1185305,ENG,RSA,Cape Town,RSA,3 Jan 2020,ENG,bat,269,223,391/8d,248,ENG,189 runs
1185306,ENG,RSA,Port Elizabeth,RSA,16 Jan 2020,ENG,bat,499/9d,209,237 (f/o),-,ENG,an innings and 53 runs
1185307,ENG,RSA,Johannesburg,RSA,24 Jan 2020,ENG,bat,400,183,248,274,ENG,191 runs
63925,WIN,RSA,Georgetown,WIN,9 Mar 2001,WIN,bat,304,332,333/7d,142/2,draw,-
63926,RSA,WIN,Port of Spain,WIN,17 Mar 2001,RSA,bat,286,342,287,162,RSA,69 runs
63927,RSA,WIN,Bridgetown,WIN,29 Mar 2001,WIN,bowl,454,387,197/9d,88/7,draw,-
63928,RSA,WIN,St John's,WIN,6 Apr 2001,WIN,bowl,247,140,215/7d,240,RSA,82 runs
63929,WIN,RSA,Kingston,WIN,19 Apr 2001,WIN,bat,225,141,301,255,WIN,130 runs
63984,WIN,IND,Georgetown,WIN,11 Apr 2002,WIN,bat,501,395/7,-,-,draw,-
63985,IND,WIN,Port of Spain,WIN,19 Apr 2002,WIN,bowl,339,245,218,275,IND,37 runs
63986,IND,WIN,Bridgetown,WIN,2 May 2002,WIN,bowl,102,394,296,5/0,WIN,10 wickets
63987,IND,WIN,St John's,WIN,10 May 2002,WIN,bowl,513/9d,629/9d,-,-,draw,-
63988,WIN,IND,Kingston,WIN,18 May 2002,IND,bowl,422,212,197,252,WIN,155 runs
63993,NZL,WIN,Bridgetown,WIN,21 Jun 2002,WIN,bowl,337,107,243,269,NZL,204 runs
63994,NZL,WIN,St George's,WIN,28 Jun 2002,WIN,bowl,373,470,256/5,-,draw,-
64024,WIN,AUS,Georgetown,WIN,10 Apr 2003,WIN,bat,237,489,398,147/1,AUS,9 wickets
64025,AUS,WIN,Port of Spain,WIN,19 Apr 2003,AUS,bat,576/4d,408,238/3d,288,AUS,118 runs
64026,AUS,WIN,Bridgetown,WIN,1 May 2003,WIN,bowl,605/9d,328,284 (f/o),8/1,AUS,9 wickets
64027,AUS,WIN,St John's,WIN,9 May 2003,AUS,bat,240,240,417,418/7,WIN,3 wickets
64034,SRL,WIN,Gros Islet,WIN,20 Jun 2003,SRL,bat,354,477/9d,126/0,-,draw,-
64035,SRL,WIN,Kingston,WIN,27 Jun 2003,WIN,bowl,208,191,194,212/3,WIN,7 wickets
64077,WIN,ENG,Kingston,WIN,11 Mar 2004,WIN,bat,311,339,47,20/0,ENG,10 wickets
64078,WIN,ENG,Port of Spain,WIN,19 Mar 2004,WIN,bat,208,319,209,99/3,ENG,7 wickets
64079,WIN,ENG,Bridgetown,WIN,1 Apr 2004,ENG,bowl,224,226,94,93/2,ENG,8 wickets
64080,WIN,ENG,St John's,WIN,10 Apr 2004,WIN,bat,751/5d,285,422/5 (f/o),-,draw,-
64089,BAN,WIN,Gros Islet,WIN,28 May 2004,BAN,bat,416,352,271/9d,113/0,draw,-
64090,BAN,WIN,Kingston,WIN,4 Jun 2004,BAN,bat,284,559/4d,176,-,WIN,an innings and 99 runs
64131,WIN,RSA,Georgetown,WIN,31 Mar 2005,WIN,bat,543/5d,188,269/4 (f/o),-,draw,-
64132,WIN,RSA,Port of Spain,WIN,8 Apr 2005,WIN,bat,347,398,194,146/2,RSA,8 wickets
207334,WIN,RSA,Bridgetown,WIN,21 Apr 2005,WIN,bat,296,548/9d,166,-,RSA,an innings and 86 runs
208321,RSA,WIN,St John's,WIN,29 Apr 2005,RSA,bat,588/6d,747,127/1,-,draw,-
209930,WIN,PAK,Bridgetown,WIN,26 May 2005,WIN,bat,345,144,371,296,WIN,276 runs
210368,PAK,WIN,Kingston,WIN,3 Jun 2005,PAK,bat,374,404,309,143,PAK,136 runs
239920,IND,WIN,St John's,WIN,2 Jun 2006,IND,bat,241,371,521/6d,298/9,draw,-
239921,IND,WIN,Gros Islet,WIN,10 Jun 2006,IND,bat,588/8d,215,294/7 (f/o),-,draw,-
239922,WIN,IND,Basseterre,WIN,22 Jun 2006,WIN,bat,581,362,172/6d,298/4,draw,-
239923,IND,WIN,Kingston,WIN,30 Jun 2006,IND,bat,200,103,171,219,IND,49 runs
319132,SRL,WIN,Providence,WIN,22 Mar 2008,SRL,bat,476/8d,280,240/7d,315,SRL,121 runs
319133,SRL,WIN,Port of Spain,WIN,3 Apr 2008,WIN,bowl,278,294,268,254/4,WIN,6 wickets
319139,AUS,WIN,Kingston,WIN,22 May 2008,AUS,bat,431,312,167,191,AUS,95 runs
319140,AUS,WIN,North Sound,WIN,30 May 2008,AUS,bat,479/7d,352,244/6d,266/5,draw,-
319141,AUS,WIN,Bridgetown,WIN,12 Jun 2008,WIN,bowl,251,216,439/5d,387,AUS,87 runs
352661,ENG,WIN,Kingston,WIN,4 Feb 2009,ENG,bat,318,392,51,-,WIN,an innings and 23 runs
390680,ENG,WIN,St John's,WIN,15 Feb 2009,WIN,bowl,566/9d,285,221/8d,370/9,draw,-
352663,ENG,WIN,Bridgetown,WIN,26 Feb 2009,ENG,bat,600/6d,749/9d,279/2d,-,draw,-
352664,ENG,WIN,Port of Spain,WIN,6 Mar 2009,ENG,bat,546/6d,544,237/6d,114/8,draw,-
401071,BAN,WIN,Kingstown,WIN,9 Jul 2009,BAN,bat,238,307,345,181,BAN,95 runs
401072,WIN,BAN,St George's,WIN,17 Jul 2009,BAN,bowl,237,232,209,217/6,BAN,4 wickets
439152,RSA,WIN,Port of Spain,WIN,10 Jun 2010,RSA,bat,352,102,206/4d,293,RSA,163 runs
439153,RSA,WIN,Basseterre,WIN,18 Jun 2010,RSA,bat,543/6d,546,235/3d,-,draw,-
439154,WIN,RSA,Bridgetown,WIN,26 Jun 2010,WIN,bat,231,346,161,49/3,RSA,7 wickets
489218,WIN,PAK,Providence,WIN,12 May 2011,WIN,bat,226,160,152,178,WIN,40 runs
489219,PAK,WIN,Basseterre,WIN,20 May 2011,PAK,bat,272,223,377/6d,230,PAK,196 runs
489226,IND,WIN,Kingston,WIN,20 Jun 2011,IND,bat,246,173,252,262,IND,63 runs
489227,IND,WIN,Bridgetown,WIN,28 Jun 2011,WIN,bowl,201,190,269/6d,202/7,draw,-
489228,WIN,IND,Roseau,WIN,6 Jul 2011,IND,bowl,204,347,322,94/3,draw,-
540176,WIN,AUS,Bridgetown,WIN,7 Apr 2012,WIN,bat,449/9d,406/9d,148,192/7,AUS,3 wickets
540177,AUS,WIN,Port of Spain,WIN,15 Apr 2012,AUS,bat,311,257,160/8d,53/2,draw,-
540178,AUS,WIN,Roseau,WIN,23 Apr 2012,AUS,bat,328,218,259,294,AUS,75 runs
560929,NZL,WIN,North Sound,WIN,25 Jul 2012,NZL,bat,351,522,272,102/1,WIN,9 wickets
560930,NZL,WIN,Kingston,WIN,2 Aug 2012,WIN,bowl,260,209,154,206/5,WIN,5 wickets
593988,ZIM,WIN,Bridgetown,WIN,12 Mar 2013,ZIM,bat,211,307,107,12/1,WIN,9 wickets
593989,ZIM,WIN,Roseau,WIN,20 Mar 2013,WIN,bowl,175,381/8d,141,-,WIN,an innings and 65 runs
730277,NZL,WIN,Kingston,WIN,8 Jun 2014,NZL,bat,508/7d,262,156/8d,216,NZL,186 runs
730279,NZL,WIN,Port of Spain,WIN,16 Jun 2014,NZL,bat,221,460,331,95/0,WIN,10 wickets
730281,NZL,WIN,Bridgetown,WIN,26 Jun 2014,NZL,bat,293,317,331/7d,254,NZL,53 runs
730295,WIN,BAN,Kingstown,WIN,5 Sep 2014,BAN,bowl,484/7d,182,314 (f/o),13/0,WIN,10 wickets
730297,WIN,BAN,Gros Islet,WIN,13 Sep 2014,BAN,bowl,380,161,269/4d,192,WIN,296 runs
766929,ENG,WIN,North Sound,WIN,13 Apr 2015,WIN,bowl,399,295,333/7d,350/7,draw,-
766931,WIN,ENG,St George's,WIN,21 Apr 2015,ENG,bowl,299,464,307,144/1,ENG,9 wickets
766933,ENG,WIN,Bridgetown,WIN,1 May 2015,ENG,bat,257,189,123,194/5,WIN,5 wickets
810423,WIN,AUS,Roseau,WIN,3 Jun 2015,WIN,bat,148,318,216,47/1,AUS,9 wickets
810425,AUS,WIN,Kingston,WIN,11 Jun 2015,WIN,bowl,399,220,212/2d,114,AUS,277 runs
1022593,IND,WIN,North Sound,WIN,21 Jul 2016,IND,bat,566/8d,243,231 (f/o),-,IND,an innings and 92 runs
1022595,WIN,IND,Kingston,WIN,30 Jul 2016,WIN,bat,196,500/9d,388/6,-,draw,-
1022597,IND,WIN,Gros Islet,WIN,9 Aug 2016,WIN,bowl,353,225,217/7d,108,IND,237 runs
1077953,WIN,PAK,Kingston,WIN,21 Apr 2017,PAK,bowl,286,407,152,36/3,PAK,7 wickets
1077954,WIN,PAK,Bridgetown,WIN,30 Apr 2017,WIN,bat,312,393,268,81,WIN,106 runs
1077955,PAK,WIN,Roseau,WIN,10 May 2017,WIN,bowl,376,247,174/8d,202,PAK,101 runs
1135149,WIN,SRL,Port of Spain,WIN,6 Jun 2018,WIN,bat,414/8d,185,223/7d,226,WIN,226 runs
1135150,SRL,WIN,Gros Islet,WIN,14 Jun 2018,SRL,bat,253,300,342,147/5,draw,-
1135151,WIN,SRL,Bridgetown,WIN,23 Jun 2018,WIN,bat,204,154,93,144/6,SRL,4 wickets
1146718,WIN,BAN,Kingston,WIN,12 Jul 2018,BAN,bowl,354,149,129,168,WIN,166 runs
1158062,WIN,ENG,Bridgetown,WIN,23 Jan 2019,WIN,bat,289,77,415/6d,246,WIN,381 runs
1158063,ENG,WIN,North Sound,WIN,31 Jan 2019,WIN,bowl,187,306,132,17/0,WIN,10 wickets
1158064,ENG,WIN,Gros Islet,WIN,9 Feb 2019,WIN,bowl,277,154,361/5d,252,ENG,232 runs
1188628,IND,WIN,North Sound,WIN,22 Aug 2019,WIN,bowl,297,222,343/7d,100,IND,318 runs
1188629,IND,WIN,Kingston,WIN,30 Aug 2019,WIN,bowl,416,117,168/4d,210,IND,257 runs
63922,PAK,NZL,Auckland,NZL,8 Mar 2001,NZL,bowl,346,252,336/5d,131,PAK,299 runs
63923,NZL,PAK,Christchurch,NZL,15 Mar 2001,PAK,bowl,476,571/8d,196/1d,-,draw,-
63924,PAK,NZL,Hamilton,NZL,27 Mar 2001,NZL,bowl,104,407/4d,118,-,NZL,an innings and 185 runs
63967,NZL,BAN,Hamilton,NZL,18 Dec 2001,BAN,bowl,365/9d,205,108 (f/o),-,NZL,an innings and 52 runs
63968,BAN,NZL,Wellington,NZL,26 Dec 2001,NZL,bowl,132,341/6d,135,-,NZL,an innings and 74 runs
63981,ENG,NZL,Christchurch,NZL,13 Mar 2002,NZL,bowl,228,147,468/6d,451,ENG,98 runs
63982,ENG,NZL,Wellington,NZL,21 Mar 2002,NZL,bowl,280,218,293/4d,158/4,draw,-
63983,NZL,ENG,Auckland,NZL,30 Mar 2002,NZL,bat,202,160,269/9d,233,NZL,78 runs
64020,IND,NZL,Wellington,NZL,12 Dec 2002,NZL,bowl,161,247,121,36/0,NZL,10 wickets
64021,IND,NZL,Hamilton,NZL,19 Dec 2002,NZL,bowl,99,94,154,160/6,NZL,4 wickets
64067,NZL,PAK,Hamilton,NZL,19 Dec 2003,PAK,bowl,563,463,96/8,-,draw,-
64068,NZL,PAK,Wellington,NZL,26 Dec 2003,NZL,bat,366,196,103,277/3,PAK,7 wickets
64074,RSA,NZL,Hamilton,NZL,10 Mar 2004,RSA,bat,459,509,313/4d,39/1,draw,-
64075,RSA,NZL,Auckland,NZL,18 Mar 2004,NZL,bowl,296,595,349,53/1,NZL,9 wickets
64076,NZL,RSA,Wellington,NZL,26 Mar 2004,RSA,bowl,297,316,252,234/4,RSA,6 wickets
64128,NZL,AUS,Christchurch,NZL,10 Mar 2005,AUS,bowl,433,432,131,135/1,AUS,9 wickets
64129,AUS,NZL,Wellington,NZL,18 Mar 2005,NZL,bowl,570/8d,244,48/3 (f/o),-,draw,-
64130,NZL,AUS,Auckland,NZL,26 Mar 2005,NZL,bat,292,383,254,166/1,AUS,9 wickets
64133,NZL,SRL,Napier,NZL,4 Apr 2005,NZL,bat,561,498,238,7/0,draw,-
64134,SRL,NZL,Wellington,NZL,11 Apr 2005,NZL,bowl,211,522/9d,273,-,NZL,an innings and 38 runs
238180,NZL,WIN,Auckland,NZL,9 Mar 2006,WIN,bowl,275,257,272,263,NZL,27 runs
238181,WIN,NZL,Wellington,NZL,17 Mar 2006,WIN,bat,192,372,215,37/0,NZL,10 wickets
251485,SRL,NZL,Christchurch,NZL,7 Dec 2006,SRL,bat,154,206,170,119/5,NZL,5 wickets
251486,SRL,NZL,Wellington,NZL,15 Dec 2006,SRL,bat,268,130,365,286,SRL,217 runs
300429,BAN,NZL,Dunedin,NZL,4 Jan 2008,NZL,bowl,137,357,254,39/1,NZL,9 wickets
300430,BAN,NZL,Wellington,NZL,12 Jan 2008,NZL,bowl,143,393,113,-,NZL,an innings and 137 runs
300442,NZL,ENG,Hamilton,NZL,5 Mar 2008,NZL,bat,470,348,177/9d,110,NZL,189 runs
300443,ENG,NZL,Wellington,NZL,13 Mar 2008,NZL,bowl,342,198,293,311,ENG,126 runs
300444,ENG,NZL,Napier,NZL,22 Mar 2008,ENG,bat,253,168,467/7d,431,ENG,121 runs
366705,NZL,WIN,Dunedin,NZL,11 Dec 2008,NZL,bat,365,340,44/2,-,draw,-
366706,WIN,NZL,Napier,NZL,19 Dec 2008,WIN,bat,307,371,375,220/5,draw,-
366628,NZL,IND,Hamilton,NZL,18 Mar 2009,IND,bowl,279,520,279,39/0,IND,10 wickets
386496,NZL,IND,Napier,NZL,26 Mar 2009,NZL,bat,619/9d,305,476/4 (f/o),-,draw,-
366629,IND,NZL,Wellington,NZL,3 Apr 2009,NZL,bowl,379,197,434/7d,281/8,draw,-
423778,NZL,PAK,Dunedin,NZL,24 Nov 2009,PAK,bowl,429,332,153,218,NZL,32 runs
423779,PAK,NZL,Wellington,NZL,3 Dec 2009,NZL,bowl,264,99,239,263,PAK,141 runs
423780,PAK,NZL,Napier,NZL,11 Dec 2009,PAK,bat,223,471,455,90/0,draw,-
423786,NZL,BAN,Hamilton,NZL,15 Feb 2010,BAN,bowl,553/7d,408,258/5d,282,NZL,121 runs
423789,AUS,NZL,Wellington,NZL,19 Mar 2010,AUS,bat,459/5d,157,407 (f/o),106/0,AUS,10 wickets
423790,AUS,NZL,Hamilton,NZL,27 Mar 2010,AUS,bat,231,264,511/8d,302,AUS,176 runs
473921,NZL,PAK,Hamilton,NZL,7 Jan 2011,PAK,bowl,275,367,110,21/0,PAK,10 wickets
473922,NZL,PAK,Wellington,NZL,15 Jan 2011,NZL,bat,356,376,293,226/5,draw,-
520591,NZL,ZIM,Napier,NZL,26 Jan 2012,ZIM,bowl,495/7d,51,143 (f/o),-,NZL,an innings and 301 runs
520603,RSA,NZL,Dunedin,NZL,7 Mar 2012,NZL,bowl,238,273,435/5d,137/2,draw,-
520604,NZL,RSA,Hamilton,NZL,15 Mar 2012,RSA,bowl,185,253,168,103/1,RSA,9 wickets
520605,RSA,NZL,Wellington,NZL,23 Mar 2012,NZL,bowl,474/9d,275,189/3d,200/6,draw,-
569243,ENG,NZL,Dunedin,NZL,6 Mar 2013,NZL,bowl,167,460/9d,421/6,-,draw,-
569244,ENG,NZL,Wellington,NZL,14 Mar 2013,NZL,bowl,465,254,162/2 (f/o),-,draw,-
569245,NZL,ENG,Auckland,NZL,22 Mar 2013,ENG,bowl,443,204,241/6d,315/9,draw,-
661679,NZL,WIN,Dunedin,NZL,3 Dec 2013,WIN,bowl,609/9d,213,507 (f/o),79/4,draw,-
661681,NZL,WIN,Wellington,NZL,11 Dec 2013,WIN,bowl,441,193,175 (f/o),-,NZL,an innings and 73 runs
661683,WIN,NZL,Hamilton,NZL,19 Dec 2013,NZL,bowl,367,349,103,124/2,NZL,8 wickets
667651,NZL,IND,Auckland,NZL,6 Feb 2014,IND,bowl,503,202,105,366,NZL,40 runs
667653,NZL,IND,Wellington,NZL,14 Feb 2014,IND,bowl,192,438,680/8d,166/3,draw,-
749777,NZL,SRL,Christchurch,NZL,26 Dec 2014,SRL,bowl,441,138,407 (f/o),107/2,NZL,8 wickets
749779,NZL,SRL,Wellington,NZL,3 Jan 2015,SRL,bowl,221,356,524/5d,196,NZL,193 runs
914203,NZL,SRL,Dunedin,NZL,10 Dec 2015,SRL,bowl,431,294,267/3d,282,NZL,122 runs
914205,SRL,NZL,Hamilton,NZL,18 Dec 2015,NZL,bowl,292,237,133,189/5,NZL,5 wickets
